Data;Tipo;Subtipo;Categoria;Item;Valor;Observação
01/11/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/12/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/01/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/02/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/03/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/04/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/05/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/06/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/07/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/08/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/09/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/10/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/11/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/12/2025;Receita;Reserva FATES;Reversão Contábil;Reversão Contábil FATES;R$ 35.600,00;R$174 mil Aprovado na AGO de 2024
01/01/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 64.000,00;R$ 235 mil aprovado na AGO de 2024
01/02/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 107.000,00;R$ 235 mil aprovado na AGO de 2024
01/03/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 24.000,00;R$ 235 mil aprovado na AGO de 2024
01/04/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 10.000,00;R$ 235 mil aprovado na AGO de 2024
01/05/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 2.000,00;R$ 235 mil aprovado na AGO de 2024
01/06/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 2.000,00;R$ 235 mil aprovado na AGO de 2024
01/07/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 2.000,00;R$ 235 mil aprovado na AGO de 2024
01/08/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 2.000,00;R$ 235 mil aprovado na AGO de 2024
01/09/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 2.000,00;R$ 235 mil aprovado na AGO de 2024
01/10/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 2.000,00;R$ 235 mil aprovado na AGO de 2024
01/11/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 2.000,00;R$ 235 mil aprovado na AGO de 2024
01/12/2025;Receita;Reserva de Investimentos;Reversão Contábil;Reversão Contábil Reserva de Investimentos;R$ 2.000,00;R$ 235 mil aprovado na AGO de 2024
01/01/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 0,00;Parceria com SESCOOP
01/02/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 2.237,50;Parceria com SESCOOP
01/03/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 2.237,50;Parceria com SESCOOP
01/04/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 2.700,00;Parceria com SESCOOP
01/05/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 2.237,50;Parceria com SESCOOP
01/06/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 2.237,50;Parceria com SESCOOP
01/07/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 2.700,00;Parceria com SESCOOP
01/08/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 3.000,00;Parceria com SESCOOP
01/09/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 2.237,50;Parceria com SESCOOP
01/10/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 2.237,50;Parceria com SESCOOP
01/11/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 2.237,50;Parceria com SESCOOP
01/12/2025;Receita;Contrapartida SESCOOP;Fomento;Fomento SESCOOP;R$ 2.237,50;Parceria com SESCOOP
01/01/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 0,00;
01/02/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/03/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/04/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/05/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/06/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/07/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/08/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/09/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/10/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/11/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/12/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Educação Infantil;R$ 49.964,79;
01/01/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 0,00;
01/02/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/03/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/04/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/05/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/06/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/07/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/08/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/09/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/10/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/11/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/12/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Fundamental;R$ 226.552,32;
01/01/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 0,00;
01/02/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/03/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/04/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/05/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/06/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/07/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/08/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/09/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/10/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/11/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/12/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 1ª Série;R$ 27.012,74;
01/01/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 0,00;
01/02/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/03/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/04/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/05/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/06/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/07/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/08/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/09/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/10/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/11/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/12/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 2ª Série;R$ 31.567,15;
01/01/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 0,00;
01/02/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/03/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/04/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/05/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/06/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/07/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/08/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/09/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/10/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/11/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/12/2025;Despesa;Custo Pessoal Direto;Encargos e Salários;Ensino Médio - 3ª Série;R$ 30.722,14;
01/01/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 0,00;
01/02/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/03/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/04/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/05/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/06/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/07/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/08/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/09/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/10/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/11/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/12/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;Staff Pedagógico;R$ 91.531,71;
01/01/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 90.000,00;
01/02/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/03/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/04/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/05/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/06/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/07/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/08/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/09/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/10/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/11/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/12/2025;Despesa;Custo Pessoal Indireto;Encargos e Salários;ADM e Apoio;R$ 139.574,42;
01/01/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/02/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/03/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/04/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/05/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/06/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/07/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/08/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/09/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/10/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/11/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/12/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Contribuições e Taxas Diversas;R$ 3.200,00;
01/01/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/02/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/03/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/04/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/05/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/06/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/07/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/08/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/09/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/10/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/11/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/12/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Rotativo;R$ 800,00;
01/01/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/02/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/03/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/04/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/05/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/06/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/07/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/08/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/09/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/10/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/11/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/12/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Fundo Diversos;R$ 750,00;
01/01/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/02/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/03/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/04/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/05/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/06/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/07/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/08/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/09/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/10/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/11/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/12/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Convênio Menores/Estagiários;R$ 550,00;
01/01/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 1.000,00;
01/02/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 85.000,00;
01/03/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 85.000,00;
01/04/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 90.000,00;
01/05/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 90.000,00;
01/06/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 90.000,00;
01/07/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 90.000,00;
01/08/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 90.000,00;
01/09/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 90.000,00;
01/10/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 90.000,00;
01/11/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 90.000,00;
01/12/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Provisionamentos;R$ 90.000,00;
01/01/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/02/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/03/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/04/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/05/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/06/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/07/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/08/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/09/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/10/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/11/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/12/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Contábil;R$ 5.175,78;
01/01/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/02/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/03/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/04/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/05/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/06/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/07/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/08/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/09/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/10/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/11/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/12/2025;Despesa;Outros Custos Indiretos;Despesas Administrativas;Acessoria Jurídica;R$ 1.869,33;
01/01/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/02/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/03/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/04/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/05/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/06/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/07/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/08/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/09/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/10/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/11/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/12/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Energia, Água, Telefone, Internet;R$ 7.000,00;
01/01/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Manutenção do Sistema Acadêmico;R$ 3.073,05;
01/02/2025;Despesa;Outros Custos Indiretos;Despesas Operacionais;Manutenção do Sistema Acadêmico;R$ 3.073,05;
